,iso2,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,10745,1986,1993,1994,1995,1996,1997,1998,1999,2000,Mammalia,iso3
21,BG,0.0,0.0,1.0,2.0,5.0,0.0,2.0,1.0,5.0,2.0,0.0,0.0,0.0,1.0,11.0,2.0,16.0,8.0,15.0,27.0,22.0,20.0,63.0,182.0,203.0,318.0,219.0,233.0,271.0,242.0,274.0,186.0,36.0,43.0,47.0,63.0,109.0,104.0,90.0,71.0,130.0,125.0,168.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,8.0,0.0,0.0,BGR
22,BH,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,6.0,4.0,9.0,6.0,9.0,0.0,2.0,6.0,1.0,3.0,17.0,2.0,3.0,1.0,12.0,11.0,7.0,17.0,3.0,28.0,60.0,90.0,135.0,40.0,72.0,104.0,162.0,114.0,158.0,218.0,88.0,103.0,62.0,99.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,BHR
23,BI,0.0,2.0,0.0,4.0,10.0,22.0,2.0,1.0,4.0,15.0,2.0,19.0,8.0,8.0,66.0,113.0,359.0,225.0,32.0,6.0,21.0,5.0,5.0,6.0,15.0,8.0,23.0,14.0,50.0,22.0,2.0,0.0,11.0,4.0,4.0,0.0,9.0,14.0,10.0,2.0,3.0,22.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BDI
24,BJ,0.0,0.0,0.0,0.0,1.0,1.0,2.0,7.0,2.0,3.0,7.0,12.0,3.0,4.0,9.0,19.0,32.0,126.0,534.0,999.0,457.0,307.0,787.0,910.0,882.0,632.0,731.0,614.0,258.0,375.0,305.0,153.0,348.0,392.0,259.0,292.0,324.0,447.0,292.0,174.0,290.0,216.0,1078.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43.0,52.0,44.0,0.0,0.0,BEN
25,BL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BLM
26,BM,0.0,0.0,0.0,15.0,12.0,7.0,1.0,1.0,13.0,1.0,6.0,29.0,18.0,32.0,27.0,32.0,11.0,43.0,55.0,33.0,1.0,39.0,18.0,28.0,24.0,24.0,19.0,16.0,40.0,29.0,37.0,12.0,30.0,10.0,89.0,55.0,52.0,26.0,42.0,24.0,37.0,72.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,BMU
27,BN,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,1.0,3.0,1.0,13.0,3.0,69.0,116.0,146.0,1.0,56.0,9.0,6.0,1.0,8.0,21.0,37.0,8.0,0.0,19.0,15.0,17.0,6.0,12.0,21.0,8.0,5.0,23.0,13.0,24.0,57.0,36.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BRN
28,BO,0.0,1.0,24.0,28.0,32.0,122.0,625.0,693.0,573.0,278.0,85.0,61.0,22.0,69.0,21.0,19.0,10.0,20.0,9.0,21.0,15.0,296.0,415.0,470.0,251.0,218.0,390.0,410.0,585.0,651.0,783.0,936.0,825.0,931.0,703.0,590.0,629.0,597.0,515.0,541.0,401.0,319.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,BOL
29,BQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,17.0,11.0,38.0,55.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE
30,BR,0.0,20.0,33.0,82.0,121.0,230.0,1774.0,2078.0,3498.0,5604.0,5744.0,6097.0,7475.0,7896.0,9513.0,30004.0,21787.0,16545.0,15317.0,10479.0,3240.0,3455.0,2611.0,6541.0,6687.0,5673.0,6579.0,5977.0,5160.0,6528.0,8641.0,7269.0,8605.0,7175.0,6374.0,6351.0,4364.0,4702.0,3710.0,3784.0,4601.0,5060.0,5435.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,259.0,731.0,687.0,0.0,0.0,BRA
