,State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Percent,Absolute,Longitude,Latitude,Percent_Change_1991_1990,Percent_Change_1992_1990,Percent_Change_1993_1990,Percent_Change_1994_1990,Percent_Change_1995_1990,Percent_Change_1996_1990,Percent_Change_1997_1990,Percent_Change_1998_1990,Percent_Change_1999_1990,Percent_Change_2000_1990,Percent_Change_2001_1990,Percent_Change_2002_1990,Percent_Change_2003_1990,Percent_Change_2004_1990,Percent_Change_2005_1990,Percent_Change_2006_1990,Percent_Change_2007_1990,Percent_Change_2008_1990,Percent_Change_2009_1990,Percent_Change_2010_1990,Percent_Change_2011_1990,Percent_Change_2012_1990,Percent_Change_2013_1990,Percent_Change_2014_1990,Percent_Change_2015_1990,Percent_Change_2016_1990
10,Georgia,62.2,55.8,53.6,58.0,60.3,64.4,64.1,68.8,70.3,71.6,75.5,70.2,75.0,75.1,77.2,85.1,85.8,91.4,85.6,73.7,79.1,67.8,55.7,53.6,59.5,55.7,57.5,19.8%,9.5,-83.25185689899675,32.68082922876843,-10.289389067524123,-13.826366559485532,-6.752411575562705,-3.054662379421231,3.536977491961419,3.0546623794212078,10.610932475884233,13.022508038585197,15.11254019292603,21.38263665594855,12.861736334405144,20.578778135048225,20.73954983922828,24.115755627009644,36.81672025723471,37.94212218649516,46.94533762057878,37.620578778135034,18.488745980707392,27.17041800643085,9.003215434083591,-10.45016077170418,-13.826366559485532,-4.3408360128617405,-10.45016077170418,-7.5562700964630265
11,Hawaii,7.6,6.3,7.2,7.2,7.5,7.7,8.0,8.0,7.8,7.9,8.0,8.0,8.6,7.9,8.2,8.1,8.1,8.1,7.9,7.7,7.6,7.4,7.1,6.8,6.7,6.6,6.6,20.0%,1.1,-157.516751085128,20.575453090217934,-17.105263157894733,-5.263157894736835,-5.263157894736835,-1.315789473684206,1.3157894736842175,5.263157894736848,5.263157894736848,2.631578947368424,3.947368421052641,5.263157894736848,5.263157894736848,13.157894736842104,3.947368421052641,7.894736842105258,6.578947368421052,6.578947368421052,6.578947368421052,3.947368421052641,1.3157894736842175,0.0,-2.631578947368412,-6.578947368421052,-10.526315789473681,-11.842105263157888,-13.157894736842104,-13.157894736842104
12,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.6,0.1,0.5,0.6,0.6,0.5,0.7,0.7,0.7,0.7,0.4,0.7,1.3,1.0,1.5,1.3,- -,1.3,-114.14184603145195,45.497274995139726,,,,,,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
13,Illinois,57.2,58.2,53.0,63.9,66.3,67.0,74.6,79.7,78.6,79.4,85.7,85.9,88.2,88.3,94.0,93.3,91.9,96.8,96.7,90.4,94.0,91.2,85.3,89.0,87.9,76.4,66.4,-10.9%,-8.1,-89.51209675156687,39.74809300028514,1.7482517482517481,-7.342657342657347,11.713286713286704,15.909090909090898,17.132867132867126,30.419580419580406,39.33566433566433,37.41258741258739,38.81118881118881,49.82517482517482,50.17482517482518,54.1958041958042,54.37062937062935,64.33566433566432,63.111888111888106,60.66433566433567,69.23076923076921,69.05594405594405,58.04195804195804,64.33566433566432,59.44055944055944,49.12587412587411,55.594405594405586,53.67132867132868,33.56643356643357,16.08391608391609
14,Indiana,95.9,95.8,94.2,97.6,100.9,102.5,104.1,108.9,111.3,114.2,120.6,115.6,114.8,116.6,119.2,122.2,122.2,122.2,122.5,109.1,114.3,108.6,98.8,98.4,103.3,87.3,83.7,21.8%,15.0,-86.44446799923962,39.770882296601854,-0.10427528675704748,-1.7726798748696586,1.772679874869644,5.213764337851929,6.88216892596454,8.550573514077152,13.555787278415016,16.058394160583934,19.082377476538056,25.755995828988514,20.542231491136587,19.708029197080283,21.584984358706976,24.296141814389983,27.42440041710114,27.42440041710114,27.42440041710114,27.737226277372258,13.76433785192908,19.18665276329509,13.242961418143887,3.02398331595411,2.6068821689259645,7.716371220020846,-8.967674661105326,-12.721584984358708
15,Iowa,26.2,27.1,26.1,27.8,27.8,29.7,29.7,30.3,34.2,34.2,36.0,36.1,35.8,35.9,36.4,35.5,35.8,39.0,40.8,37.0,40.6,37.2,34.3,32.1,32.5,28.4,24.7,28.6%,5.5,-93.39175299369869,41.93670200422355,3.4351145038168025,-0.38167938931296896,6.106870229007639,6.106870229007639,13.358778625954198,13.358778625954198,15.648854961832068,30.53435114503818,30.53435114503818,37.404580152671755,37.78625954198474,36.6412213740458,37.02290076335878,38.93129770992366,35.49618320610687,36.6412213740458,48.85496183206107,55.72519083969465,41.221374045801525,54.96183206106872,41.984732824427496,30.916030534351137,22.519083969465658,24.04580152671756,8.396946564885493,-5.7251908396946565
16,Kansas,26.7,26.9,24.3,29.4,29.5,28.5,32.7,30.5,31.1,33.0,36.1,34.9,38.2,38.0,37.3,37.1,35.1,38.5,36.4,35.3,35.4,34.2,30.7,32.0,30.7,26.4,24.8,8.8%,2.0,-98.32637995376105,38.49593176023882,0.7490636704119823,-8.988764044943816,10.112359550561795,10.486891385767795,6.741573033707867,22.471910112359563,14.23220973782772,16.47940074906368,23.59550561797753,35.205992509363305,30.711610486891384,43.071161048689156,42.32209737827716,39.700374531835195,38.951310861423224,31.46067415730338,44.19475655430712,36.329588014981276,32.20973782771535,32.58426966292134,28.08988764044945,14.981273408239701,19.850187265917608,14.981273408239701,-1.1235955056179803,-7.116104868913853
17,Kentucky,67.2,68.4,69.5,77.7,76.2,78.7,81.0,84.0,84.2,86.8,88.5,89.5,89.1,87.2,89.0,92.2,95.1,94.3,95.0,87.0,94.1,93.5,86.5,86.1,86.4,76.7,72.6,38.0%,20.0,-85.7639032059621,37.81931710267671,1.7857142857142898,3.422619047619043,15.625,13.392857142857142,17.113095238095237,20.535714285714278,24.999999999999993,25.297619047619047,29.166666666666657,31.696428571428566,33.1845238095238,32.5892857142857,29.761904761904763,32.44047619047619,37.202380952380956,41.51785714285713,40.32738095238094,41.36904761904761,29.464285714285708,40.02976190476189,39.13690476190476,28.720238095238088,28.12499999999999,28.571428571428577,14.136904761904761,8.035714285714272
18,Louisiana,34.2,34.2,35.6,37.4,38.7,39.6,35.3,39.1,41.4,41.3,42.7,39.4,41.5,39.1,41.0,42.9,37.8,38.1,39.8,37.7,42.4,46.2,42.9,40.8,39.3,39.2,36.1,31.3%,8.6,-91.53179415196469,30.981539061324927,0.0,4.093567251461984,9.356725146198817,13.157894736842104,15.78947368421052,3.216374269005831,14.327485380116952,21.052631578947352,20.760233918128637,24.853801169590643,15.204678362573084,21.345029239766074,14.327485380116952,19.883040935672504,25.438596491228054,10.526315789473667,11.40350877192982,16.374269005847935,10.23391812865497,23.976608187134488,35.08771929824561,25.438596491228054,19.29824561403507,14.91228070175437,14.619883040935672,5.555555555555551
19,Maine,2.1,1.7,1.7,1.3,1.2,1.3,1.1,1.8,2.0,3.4,3.6,5.7,5.9,4.8,4.5,3.8,2.7,2.6,2.5,2.4,2.6,2.1,1.7,1.4,1.7,1.6,1.5,-16.7%,-0.3,-69.02839016064647,45.272192530623634,-19.04761904761905,-19.04761904761905,-38.095238095238095,-42.85714285714286,-38.095238095238095,-47.61904761904761,-14.285714285714288,-4.761904761904765,61.9047619047619,71.42857142857143,171.42857142857142,180.95238095238096,128.57142857142856,114.28571428571428,80.95238095238093,28.571428571428577,23.809523809523807,19.047619047619044,14.285714285714276,23.809523809523807,0.0,-19.04761904761905,-33.33333333333334,-19.04761904761905,-23.809523809523807,-28.571428571428577
