,State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Percent,Absolute,Longitude,Latitude,Percent_Change_1991_1990,Percent_Change_1992_1990,Percent_Change_1993_1990,Percent_Change_1994_1990,Percent_Change_1995_1990,Percent_Change_1996_1990,Percent_Change_1997_1990,Percent_Change_1998_1990,Percent_Change_1999_1990,Percent_Change_2000_1990,Percent_Change_2001_1990,Percent_Change_2002_1990,Percent_Change_2003_1990,Percent_Change_2004_1990,Percent_Change_2005_1990,Percent_Change_2006_1990,Percent_Change_2007_1990,Percent_Change_2008_1990,Percent_Change_2009_1990,Percent_Change_2010_1990,Percent_Change_2011_1990,Percent_Change_2012_1990,Percent_Change_2013_1990,Percent_Change_2014_1990,Percent_Change_2015_1990,Percent_Change_2016_1990
20,Maryland,2.9,3.5,4.0,3.9,4.3,4.8,4.3,4.2,4.7,4.5,4.7,4.8,4.8,5.3,5.2,5.0,4.6,4.7,4.7,4.8,4.6,4.6,4.4,4.7,5.1,5.3,5.2,48.6%,1.7,-77.2677438959766,38.84785799541689,20.689655172413797,37.931034482758626,34.48275862068966,48.275862068965516,65.51724137931035,48.275862068965516,44.82758620689656,62.068965517241395,55.172413793103445,62.068965517241395,65.51724137931035,65.51724137931035,82.75862068965517,79.31034482758622,72.41379310344827,58.620689655172406,62.068965517241395,62.068965517241395,65.51724137931035,58.620689655172406,58.620689655172406,51.7241379310345,62.068965517241395,75.86206896551724,82.75862068965517,79.31034482758622
21,Massachusetts,8.5,9.2,9.0,8.0,8.9,9.0,9.1,9.5,8.1,6.2,6.8,5.7,5.9,7.1,6.6,6.7,5.0,5.3,5.6,5.8,6.7,6.3,5.2,6.8,7.1,7.6,7.0,-18.6%,-1.6,-71.70830989229937,42.062578593468544,8.23529411764705,5.88235294117647,-5.88235294117647,4.70588235294118,5.88235294117647,7.05882352941176,11.76470588235294,-4.70588235294118,-27.058823529411764,-20.0,-32.94117647058823,-30.588235294117645,-16.470588235294123,-22.35294117647059,-21.17647058823529,-41.17647058823529,-37.64705882352941,-34.117647058823536,-31.764705882352946,-21.17647058823529,-25.882352941176475,-38.8235294117647,-20.0,-16.470588235294123,-10.58823529411765,-17.647058823529413
22,Michigan,10.5,10.7,10.9,11.1,11.4,11.9,12.5,11.9,10.1,10.7,11.2,10.6,10.9,11.2,10.8,10.6,9.2,10.0,10.6,10.3,9.4,9.9,8.7,10.3,12.1,10.8,10.2,-19.7%,-2.5,-86.4140178179582,44.93564504981842,1.904761904761898,3.809523809523813,5.714285714285711,8.571428571428575,13.333333333333336,19.047619047619047,13.333333333333336,-3.809523809523813,1.904761904761898,6.66666666666666,0.952380952380949,3.809523809523813,6.66666666666666,2.857142857142864,0.952380952380949,-12.380952380952388,-4.761904761904762,0.952380952380949,-1.904761904761898,-10.476190476190473,-5.714285714285711,-17.14285714285715,-1.904761904761898,15.238095238095234,2.857142857142864,-2.857142857142864
23,Minnesota,5.7,5.5,5.0,5.3,5.5,5.9,6.3,6.2,5.5,5.4,5.8,5.8,6.4,6.4,5.9,6.0,5.9,5.9,6.5,6.3,5.7,6.0,5.3,6.7,7.1,6.4,6.3,40.0%,1.8,-93.38005476091804,46.43491611688506,-3.5087719298245648,-12.280701754385968,-7.0175438596491295,-3.5087719298245648,3.5087719298245648,10.526315789473678,8.771929824561402,-3.5087719298245648,-5.263157894736839,1.7543859649122744,1.7543859649122744,12.280701754385968,12.280701754385968,3.5087719298245648,5.263157894736839,3.5087719298245648,3.5087719298245648,14.035087719298241,10.526315789473678,0.0,5.263157894736839,-7.0175438596491295,17.543859649122805,24.56140350877192,12.280701754385968,10.526315789473678
24,Mississippi,1.3,1.3,1.4,1.3,1.4,1.4,1.6,1.5,1.5,1.4,1.6,1.6,1.5,1.7,1.5,1.4,1.3,1.8,1.5,1.5,1.5,1.5,1.4,1.4,1.7,1.6,1.6,-46.7%,-1.4,-89.86707553977061,32.59998842943143,0.0,7.692307692307682,0.0,7.692307692307682,7.692307692307682,23.076923076923077,15.38461538461538,15.38461538461538,7.692307692307682,23.076923076923077,23.076923076923077,15.38461538461538,30.76923076923076,15.38461538461538,7.692307692307682,0.0,38.46153846153846,15.38461538461538,15.38461538461538,15.38461538461538,15.38461538461538,7.692307692307682,7.692307692307682,30.76923076923076,23.076923076923077,23.076923076923077
25,Missouri,4.4,4.7,4.5,5.0,4.8,4.7,5.3,5.2,4.5,4.8,4.6,5.2,4.6,4.5,4.5,4.2,4.0,4.0,4.6,4.1,4.1,4.0,3.6,4.2,4.8,4.5,4.2,-22.2%,-1.2,-92.43625670317988,38.299720386273066,6.818181818181814,2.2727272727272645,13.636363636363628,9.09090909090908,6.818181818181814,20.454545454545443,18.181818181818176,2.2727272727272645,9.09090909090908,4.545454545454529,18.181818181818176,4.545454545454529,2.2727272727272645,2.2727272727272645,-4.545454545454549,-9.090909090909099,-9.090909090909099,4.545454545454529,-6.818181818181834,-6.818181818181834,-9.090909090909099,-18.181818181818183,-4.545454545454549,9.09090909090908,2.2727272727272645,-4.545454545454549
26,Montana,0.9,0.9,0.8,0.9,0.8,0.8,0.9,1.0,0.8,0.7,0.9,0.9,0.9,1.0,1.1,1.1,1.1,0.9,1.0,1.4,1.2,1.4,1.2,1.3,1.3,1.2,1.4,40.0%,0.4,-110.05330181148427,46.67683321059721,0.0,-11.111111111111107,0.0,-11.111111111111107,-11.111111111111107,0.0,11.111111111111107,-11.111111111111107,-22.22222222222223,0.0,0.0,0.0,11.111111111111107,22.22222222222223,22.22222222222223,22.22222222222223,0.0,11.111111111111107,55.55555555555555,33.33333333333333,55.55555555555555,33.33333333333333,44.44444444444445,44.44444444444445,33.33333333333333,55.55555555555555
27,Nebraska,2.1,2.2,2.0,2.0,2.2,2.2,2.3,2.1,1.7,1.6,1.8,1.7,1.6,1.7,1.8,1.6,1.7,1.8,2.1,1.9,1.9,1.9,1.6,2.0,2.0,2.0,1.8,-28.0%,-0.7,-99.68245830974188,41.497828646262114,4.761904761904765,-4.761904761904765,-4.761904761904765,4.761904761904765,4.761904761904765,9.523809523809511,0.0,-19.04761904761905,-23.809523809523807,-14.285714285714288,-19.04761904761905,-23.809523809523807,-19.04761904761905,-14.285714285714288,-23.809523809523807,-19.04761904761905,-14.285714285714288,0.0,-9.52380952380953,-9.52380952380953,-9.52380952380953,-23.809523809523807,-4.761904761904765,-4.761904761904765,-4.761904761904765,-14.285714285714288
28,Nevada,1.1,1.2,1.1,1.4,1.4,1.4,1.6,1.4,1.5,1.5,1.6,1.4,1.5,1.5,1.7,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.8,1.9,1.8,2.2,2.3,187.5%,1.5,-117.01685840293631,38.497775750925676,9.09090909090908,0.0,27.272727272727256,27.272727272727256,27.272727272727256,45.45454545454545,27.272727272727256,36.36363636363635,36.36363636363635,45.45454545454545,27.272727272727256,36.36363636363635,36.36363636363635,54.54545454545453,63.636363636363626,63.636363636363626,63.636363636363626,63.636363636363626,63.636363636363626,63.636363636363626,72.7272727272727,63.636363636363626,72.7272727272727,63.636363636363626,100.0,109.09090909090907
29,New Hampshire,1.4,1.3,1.2,1.2,1.3,1.2,1.4,1.4,1.2,1.2,1.5,1.4,1.4,1.7,1.9,2.0,1.4,1.4,1.4,1.4,1.2,1.4,1.2,1.3,1.4,1.5,1.4,55.6%,0.5,-71.64378368730809,44.00003635595354,-7.142857142857134,-14.285714285714283,-14.285714285714283,-7.142857142857134,-14.285714285714283,0.0,0.0,-14.285714285714283,-14.285714285714283,7.1428571428571495,0.0,0.0,21.428571428571434,35.714285714285715,42.85714285714287,0.0,0.0,0.0,0.0,-14.285714285714283,0.0,-14.285714285714283,-7.142857142857134,0.0,7.1428571428571495,0.0
