,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
189,1827,1827,232521,1979,I,Diceros bicornis,Mammalia,Perissodactyla,Rhinocerotidae,Diceros,horns,4.0,kg,JP,ZA,,,,E,,,
306,12326,12326,13283242,1979,II,Neogyna spp.,,Orchidales,Orchidaceae,Neogyna,live,2.0,,GB,IN,,,,I,,,
891,10742,10742,5429875,1979,II,Tupinambis teguixin,Reptilia,Sauria,Teiidae,Tupinambis,leather products (small),2.0,,ZA,IT,AR,,,E,,,
204,7139,7139,5176659,1979,II,Lama guanicoe,Mammalia,Artiodactyla,Camelidae,Lama,garments,67.0,,CH,CA,,,,E,,,
399,6559,6559,5150615,1979,II,Escobaria spp.,,Caryophyllales,Cactaceae,Escobaria,live,4.0,,CA,US,,T,,E,,,
963,7399,7399,5184770,1979,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,tusks,121.0,,US,BW,,,,E,,,
534,1222,1222,143216,1979,I,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,skins,3.0,,DE,ZM,,,,I,,,
481,160,160,15871,1979,II,Anthogonium spp.,,Orchidales,Orchidaceae,Anthogonium,live,22.0,,US,IN,,,,E,,,
40,6301,6301,5136114,1979,II,Disocactus spp.,,Caryophyllales,Cactaceae,Disocactus,live,1.0,,GB,JM,,,,I,,,
952,9680,9680,5327920,1979,II,Phalaenopsis spp.,,Orchidales,Orchidaceae,Phalaenopsis,live,20.0,,BR,US,,T,,E,,,
449,628,628,62413,1979,II,Caiman crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,bodies,3.0,,US,BR,,T,,I,,,
353,5806,5806,5087051,1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,carvings,282.0,,US,KY,,T,,I,,,
571,3585,3585,400762,1979,II,Papio ursinus,Mammalia,Primates,Cercopithecidae,Papio,specimens,1.0,,US,ZA,,,,E,,,
879,5685,5685,5084547,1979,II,Cephalocereus spp.,,Caryophyllales,Cactaceae,Cephalocereus,live,785.0,,US,MX,,T,,I,,,
962,6917,6917,5168456,1979,II,Iguana iguana,Reptilia,Sauria,Iguanidae,Iguana,leather products (small),22.0,,DE,IT,XX,,,E,,,
863,1468,1468,182314,1979,II,Crocodylus porosus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,leather products (small),613.0,,DK,CH,XX,T,,I,,,
574,9183,9183,5296034,1979,II,Orchidaceae hybrid,,Orchidales,Orchidaceae,,live,3.0,,JP,US,,T,A,E,,,
738,6877,6877,5168416,1979,II,Iguana iguana,Reptilia,Sauria,Iguanidae,Iguana,live,157.0,,DD,DE,,T,,I,,,
749,7413,7413,5184784,1979,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,tusks,19.0,,ZA,BW,,,,E,,,
108,6096,6096,5097043,1979,II,Coryphantha spp.,,Caryophyllales,Cactaceae,Coryphantha,live,3.0,,SE,GB,,,,E,,,
426,5907,5907,5090791,1979,I,Chinchilla spp.,Mammalia,Rodentia,Chinchillidae,Chinchilla,garments,1.0,,US,CA,,,,E,,,
698,11180,11180,5458126,1979,II,Varanus indicus,Reptilia,Sauria,Varanidae,Varanus,skin pieces,134.0,,US,IN,,T,,I,,,
603,11141,11141,5455478,1979,II,Varanus exanthematicus,Reptilia,Sauria,Varanidae,Varanus,leather products (small),9521.0,,US,CH,NG,T,,I,,,
798,9695,9695,5327935,1979,II,Phalaenopsis spp.,,Orchidales,Orchidaceae,Phalaenopsis,live,19.0,,IT,US,,T,,E,,,
988,9968,9968,5369136,1979,II,Puma concolor,Mammalia,Carnivora,Felidae,Puma,live,4.0,,DE,CH,,,C,E,,,
490,946,946,104912,1979,II,Cattleya spp.,,Orchidales,Orchidaceae,Cattleya,live,4.0,,SR,US,,T,,E,,,
589,9867,9867,5337536,1979,I,Polyplectron napoleonis,Aves,Galliformes,Phasianidae,Polyplectron,live,1.0,,SG,HK,,,,E,,,
961,3133,3133,344901,1979,II,Odontoglossum spp.,,Orchidales,Orchidaceae,Odontoglossum,live,379.0,,US,GT,,T,,I,,,
744,9227,9227,5296078,1979,II,Orchidaceae hybrid,,Orchidales,Orchidaceae,,live,5.0,,JP,US,,T,A,E,,,
256,12085,12085,13222957,1979,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ivory carvings,8.0,kg,HU,IN,XX,,,E,,,
94,10181,10181,5380800,1979,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,shoes,31.0,,GB,IT,MY,,,E,,,
714,4286,4286,478281,1979,II,Tupinambis spp.,Reptilia,Sauria,Teiidae,Tupinambis,leather products (small),500.0,,US,AR,,T,,I,,,
425,1843,1843,232993,1979,II,Diploprora spp.,,Orchidales,Orchidaceae,Diploprora,live,6.0,,AU,IN,,,,E,,,
283,549,549,62334,1979,II,Caiman crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather items,325.0,,DK,NL,XX,T,,I,,,
388,9832,9832,5336603,1979,II,Podocnemis expansa,Reptilia,Testudines,Podocnemididae,Podocnemis,live,4.0,,CH,DE,,P,,I,,,
67,3244,3244,348255,1979,II,Orchidaceae spp.,,Orchidales,Orchidaceae,,live,1.0,,NL,IN,,,,E,,,
348,9827,9827,5335890,1979,II,Pleurothallis spp.,,Orchidales,Orchidaceae,Pleurothallis,live,1.0,,GB,CO,,,,I,,,
427,2868,2868,318169,1979,II,Lynx lynx,Mammalia,Carnivora,Felidae,Lynx,skins,174.0,,DE,DD,XX,,,E,,,
431,167,167,16170,1979,II,Appendicula spp.,,Orchidales,Orchidaceae,Appendicula,live,4.0,,US,IN,,T,,I,,,
165,8013,8013,5185384,1979,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ivory pieces,959.0,kg,HK,PT,MZ,T,,I,,,
604,3558,3558,400023,1979,II,Papio hamadryas,Mammalia,Primates,Cercopithecidae,Papio,live,5.0,,NL,DD,,,C,E,,,
728,3497,3497,383308,1979,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,trophies,1.0,,GR,ZA,,,,E,,,
199,10774,10774,5429907,1979,II,Tupinambis teguixin,Reptilia,Sauria,Teiidae,Tupinambis,shoes,198.0,,GB,IT,XX,,,E,,,
796,9576,9576,5322760,1979,II,Paphiopedilum spp.,,Orchidales,Orchidaceae,Paphiopedilum,live,235.0,,FR,IN,,,,E,,,
591,10000,10000,5370134,1979,II,Python bivittatus,Reptilia,Serpentes,Pythonidae,Python,live,25.0,,GB,TH,,T,,I,,,
1,7833,7833,5185204,1979,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ivory carvings,27.0,,GB,ZM,,,,I,,,
617,227,227,24269,1979,II,Arctocephalus pusillus,Mammalia,Carnivora,Otariidae,Arctocephalus,live,1.0,,LK,HK,ZA,,,E,,,
678,2356,2356,276238,1979,II,Felis chaus,Mammalia,Carnivora,Felidae,Felis,garments,1.0,,CA,IN,,,,E,,,
535,3821,3821,438832,1979,II,Python sebae,Reptilia,Serpentes,Pythonidae,Python,live,330.0,,US,GH,,T,,I,,,
708,718,718,75068,1979,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather items,148.0,,CH,IT,CO,,,E,,,
699,7011,7011,5172094,1979,II,Kobus leche,Mammalia,Artiodactyla,Bovidae,Kobus,skulls,2.0,,ZW,BW,,,,E,,,
349,2451,2451,283462,1979,II,Grammatophyllum spp.,,Orchidales,Orchidaceae,Grammatophyllum,live,2.0,,GB,PH,,,,I,,,
56,1825,1825,232519,1979,I,Diceros bicornis,Mammalia,Perissodactyla,Rhinocerotidae,Diceros,trophies,1.0,,US,GB,XX,,,E,,,
752,4951,4951,5031520,1979,II,Boa constrictor,Reptilia,Serpentes,Boidae,Boa,shoes,95.0,,US,ES,TH,T,,I,,,
928,12267,12267,13228608,1979,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,skins,92.988,kg,US,CA,,T,,I,,,
341,4127,4127,468493,1979,II,Stigmochelys pardalis,Reptilia,Testudines,Testudinidae,Stigmochelys,live,31.0,,CH,KE,,T,,I,,,
732,12013,12013,13194808,1979,II,Haageocereus spp.,,Caryophyllales,Cactaceae,Haageocereus,live,10.0,,GB,US,,,,I,,,
638,7198,7198,5178717,1979,II,Leptailurus serval,Mammalia,Carnivora,Felidae,Leptailurus,live,2.0,,AU,US,,,,I,,,
996,9535,9535,5315211,1979,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,skins,3.0,,ZA,BW,,,,I,,,
265,10221,10221,5380840,1979,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,shoes,72.0,,US,IT,TH,T,,I,,,
792,4274,4274,478269,1979,II,Tupinambis spp.,Reptilia,Sauria,Teiidae,Tupinambis,leather products (small),20.0,,DE,CH,XX,,,E,,,
823,841,841,98568,1979,II,Catasetum maculatum,,Orchidales,Orchidaceae,Catasetum,live,2.0,,US,PA,,T,,E,,,
277,714,714,75064,1979,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather items,1373.0,,FR,IT,CO,,,E,,,
255,11386,11386,5458682,1979,II,Varanus niloticus,Reptilia,Sauria,Varanidae,Varanus,leather products (small),8.0,,HK,IT,XX,,,E,,,
661,9526,9526,5315202,1979,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,skulls,1.0,,DE,ZA,,,,E,,,
18,8633,8633,5267801,1979,II,Lynx rufus,Mammalia,Carnivora,Felidae,Lynx,garments,2.0,,US,IT,,T,,I,,,
65,7472,7472,5184843,1979,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ivory pieces,38.0,kg,DE,ZM,,,,I,,,
332,4800,4800,5031369,1979,II,Boa constrictor,Reptilia,Serpentes,Boidae,Boa,skins,1.0,,CH,FR,IT,T,,E,,,
578,6367,6367,5141293,1979,I,Encephalartos ferox,,Cycadales,Zamiaceae,Encephalartos,live,29.0,,US,ZA,,,,E,,,
871,11996,11996,13178490,1979,II,Felis bengalensis,Mammalia,Carnivora,Felidae,Felis,skins,730.0,,DD,KP,,,,I,,,
730,5509,5509,5077156,1979,II,Campylocentrum spp.,,Orchidales,Orchidaceae,Campylocentrum,live,1.0,,US,HN,,T,,I,,,
46,275,275,27621,1979,II,Ascocentrum spp.,,Orchidales,Orchidaceae,Ascocentrum,live,6.0,,CA,US,,T,,E,,,
327,4621,4621,5007757,1979,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,live,2.0,,ES,GB,,,,E,,,
957,7849,7849,5185220,1979,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ivory carvings,566.0,,SE,FR,,T,,I,,,
304,7329,7329,5184700,1979,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,skins,1.0,,IT,BW,,,,E,,,
212,3705,3705,414862,1979,II,Pilosocereus spp.,,Caryophyllales,Cactaceae,Pilosocereus,live,1.0,,JP,GB,,,,E,,,
398,7592,7592,5184963,1979,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ivory carvings,16.0,kg,DE,IN,HK,,,E,,,
750,4628,4628,5013606,1979,I,Aloe polyphylla,,Liliales,Liliaceae,Aloe,live,2.0,,GB,US,,T,,E,,,
475,10875,10875,5452151,1979,II,Ursus maritimus,Mammalia,Carnivora,Ursidae,Ursus,skins,3.0,,NO,DK,GL,T,,E,,,
895,10563,10563,5424180,1979,II,Testudo horsfieldii,Reptilia,Testudines,Testudinidae,Testudo,live,2110.0,,CH,DE,,T,,I,,,
52,9762,9762,5331040,1979,II,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,wax,80.0,bags,ES,GB,XX,,,E,,,
102,5796,5796,5087041,1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,bodies,50.0,,CA,KY,,S,,I,,,
583,10885,10885,5452161,1979,II,Ursus maritimus,Mammalia,Carnivora,Ursidae,Ursus,live,1.0,,JP,DE,SU,,,E,,,
289,2759,2759,307425,1979,I,Lepidochelys olivacea,Reptilia,Testudines,Cheloniidae,Lepidochelys,leather products (small),1249.0,,DE,IT,MX,,,E,,,
761,1323,1323,157080,1979,II,Crocodylus novaeguineae,Reptilia,Crocodylia,Crocodylidae,Crocodylus,leather items,1731.0,,CH,DE,SG,,,E,,,
654,12529,12529,13494393,1979,II,Varanus storri,Reptilia,Sauria,Varanidae,Varanus,bodies,2.0,,US,AU,,S,,I,,,
751,3859,3859,446987,1979,II,Rebutia spp.,,Caryophyllales,Cactaceae,Rebutia,live,2.0,,SG,US,,T,,E,,,
461,3,3,125,1979,II,Accipiter bicolor,Aves,Falconiformes,Accipitridae,Accipiter,specimens,1.0,,US,BO,,S,,I,,,
564,5977,5977,5093338,1979,II,Cleistocactus spp.,,Caryophyllales,Cactaceae,Cleistocactus,live,3.0,,CA,US,,T,,E,,,
701,8103,8103,5185474,1979,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ivory pieces,2977.0,kg,HK,FR,TD,T,,I,,,
45,9418,9418,5313358,1979,II,Pachypodium spp.,,Gentianales,Apocynaceae,Pachypodium,live,9.0,,RE,MG,,,,E,,,
154,6278,6278,5134877,1979,II,Dichaea spp.,,Orchidales,Orchidaceae,Dichaea,live,1.0,,GB,HN,,,,I,,,
74,3355,3355,374459,1979,I,Pan troglodytes,Mammalia,Primates,Hominidae,Pan,live,2.0,,CU,DE,US,,,E,,,
785,404,404,34869,1979,II,Brassia spp.,,Orchidales,Orchidaceae,Brassia,live,10.0,,US,PA,,T,,I,,,
381,3601,3601,404638,1979,II,Parodia spp.,,Caryophyllales,Cactaceae,Parodia,live,1.0,,IN,GB,,,,E,,,
665,10029,10029,5370163,1979,II,Python bivittatus,Reptilia,Serpentes,Pythonidae,Python,skins,1500.0,m,CN,HK,VN,,,E,,,
480,60,60,3301,1979,II,Aerides spp.,,Orchidales,Orchidaceae,Aerides,live,392.0,,US,IN,,T,,I,,,
517,730,730,75080,1979,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather products (small),297.0,,DE,IT,AR,,,E,,,
83,10655,10655,5429788,1979,II,Tupinambis teguixin,Reptilia,Sauria,Teiidae,Tupinambis,live,10.0,,NL,US,GY,,,E,,,
806,1654,1654,206702,1979,II,Cyclura cornuta,Reptilia,Sauria,Iguanidae,Cyclura,live,4.0,,CA,US,HT,,,E,,,
331,11090,11090,5455427,1979,II,Varanus exanthematicus,Reptilia,Sauria,Varanidae,Varanus,leather products (small),16.0,,DE,IT,XX,,,E,,,
442,11119,11119,5455456,1979,II,Varanus exanthematicus,Reptilia,Sauria,Varanidae,Varanus,leather products (small),210.0,,US,IT,MG,T,,I,,,
300,4755,4755,5029472,1979,II,Astrophytum spp.,,Caryophyllales,Cactaceae,Astrophytum,live,1.0,,US,PA,,T,,I,,,
482,9630,9630,5326040,1979,II,Papio cynocephalus,Mammalia,Primates,Cercopithecidae,Papio,skulls,1.0,,CH,FR,,,,I,,,
846,11924,11924,13161957,1979,II,Eriosyce spp.,,Caryophyllales,Cactaceae,Eriosyce,live,2.0,,BE,GB,,,,E,,,
423,11091,11091,5455428,1979,II,Varanus exanthematicus,Reptilia,Sauria,Varanidae,Varanus,leather items,34289.0,,US,IT,NG,,,E,,,
923,119,119,14645,1979,II,Angraecum spp.,,Orchidales,Orchidaceae,Angraecum,live,1.0,,US,UG,,T,,I,,,
27,52,52,3293,1979,II,Aerides spp.,,Orchidales,Orchidaceae,Aerides,live,23.0,,CA,IN,,,,E,,,
