,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
204,788459,788459,788459,10897219,2007,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,leather products (small),54.0,,JP,VN,MY,T,W,I,,c905bf7363,
716,726341,726341,726341,10638344,2007,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),1.0,,ES,CH,US,T,W,E,,2f587649bc,eb133371e8
70,448086,448086,448086,10206560,2007,II,Caiman crocodilus crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather products (small),2.0,,US,IT,VE,T,W,E,,cb8918ceec,
575,455209,455209,455209,10216449,2007,II,Candoia carinata,Reptilia,Serpentes,Boidae,Candoia,live,10.0,,US,ID,,T,W,I,,04fb3d4647,
207,587067,587067,587067,10397439,2007,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,leather products (small),24.0,,KR,IT,ID,T,W,E,,df962fdf2e,
829,479050,479050,479050,10247677,2007,II,Dracula ophioceps,,Orchidales,Orchidaceae,Dracula,live,2.0,,DE,CO,,T,A,I,63d90719c3,3d436e5604,
517,507450,507450,507450,10286548,2007,II,Goniopora minor,Anthozoa,Scleractinia,Poritidae,Goniopora,live,20.0,,ES,ID,,T,W,E,,37ea3c7e1b,
875,613281,613281,613281,10433729,2007,II,Schomburgkia crispa,,Orchidales,Orchidaceae,Schomburgkia,live,10.0,,DE,BR,,T,A,E,,8dc8ce9c5b,
833,261962,261962,261962,3757007,2007,II,Ferocactus herrerae,,Caryophyllales,Cactaceae,Ferocactus,live,1.0,,US,CA,,T,A,E,,05bbd07678,
726,88991,88991,88991,3211105,2007,II,Euphyllia ancora,Anthozoa,Scleractinia,Caryophylliidae,Euphyllia,live,20.0,,US,ID,,T,W,E,,5a9db052f6,
755,92574,92574,92574,3217938,2007,II,Euphyllia glabrescens,Anthozoa,Scleractinia,Caryophylliidae,Euphyllia,live,10.0,,US,ID,,T,W,E,,d5752bb377,
586,534949,534949,534949,10321106,2007,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,live,144.0,,JP,CN,,T,C,E,,3a624768e7,
356,218114,218114,218114,3520556,2007,II,Astrophytum ornatum,,Caryophyllales,Cactaceae,Astrophytum,live,56.0,,US,CA,,T,A,E,,b4c1932186,
130,713115,713115,713115,10625118,2007,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),1.0,,SG,CH,US,T,C,E,,c6d05c0ee0,c892701542
114,596375,596375,596375,10406759,2007,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,leather products (small),2.0,,JP,FR,VN,T,C,E,,792d7f1fdd,9d01120504
584,18364,18364,18364,3060627,2007,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather products (small),100.0,,IT,HK,CO,T,C,I,41980a5dbe,4edbab3926,
329,41037,41037,41037,3118274,2007,II,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,skins,20.0,,DE,SG,ZW,T,C,I,6d778add2e,9982d07227,eed828b0f0
244,787785,787785,787785,10893266,2007,II,Python bivittatus,Reptilia,Serpentes,Pythonidae,Python,leather products (small),3.0,,CH,IT,VN,T,C,I,,2fbd7aa999,ec0fa83591
582,115978,115978,115978,3266469,2007,II,Laelia mantiqueirae,,Orchidales,Orchidaceae,Laelia,live,20.0,,CH,BR,,T,A,E,,b12bf9b450,
398,291541,291541,291541,3853439,2007,II,Panax quinquefolius,,Apiales,Araliaceae,Panax,roots,0.4,kg,US,CA,,T,A,E,,6f66be4c48,
442,451843,451843,451843,10210323,2007,II,Caiman crocodilus crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather products (small),91.0,,FR,CH,VE,T,W,I,2b090a5375,,3e521973a8
308,531718,531718,531718,10317180,2007,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,specimens,6.0,ml,CH,FR,MU,S,F,E,,97ed02b22e,1cf149824d
927,421013,421013,421013,10074860,2007,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),34.0,,US,CH,US,T,W,I,,f4fefb4e09,
487,569501,569501,569501,10377572,2007,II,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,live,1.0,,IT,IL,IT,P,C,E,,df653ed739,
548,418903,418903,418903,10072750,2007,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (large),1.0,,US,ZA,US,T,W,I,,451dac03d6,
935,788654,788654,788654,10897414,2007,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,leather products (small),500.0,,JP,HK,MY,T,W,I,,ee38f5a886,
325,680498,680498,680498,10592501,2007,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),3.0,,JP,CH,US,T,C,E,,3c7c1bbc8a,f26e7e51b7
539,419108,419108,419108,10072955,2007,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),39.0,,US,CH,US,T,W,I,,805d5bc2d1,
137,404454,404454,404454,10058301,2007,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),2.0,,MY,SG,US,T,W,I,0e30c2d27f,,
